# Observational parameters
#
# Columns (the ones left out contain the uncertainties on the previous parameter):
# 0 - KIC ID
# 1 - Effective temperature (K)
# 3 - Metallicity ([Fe/H])
# 5 - Large frequency separation (dnu) (microHz)
# 7 - Frequency of maximum power (nu_max) (microHz)
# 9 - Angular diameter (arcseconds)
############################################################################################
 8478994	5426	 73	-0.24	0.10	178.700	1.400	4660.00	 50.00	1.14e-01	3.58e-03
 8494142	6148	139	 0.13	0.10	 61.800	0.760	1133.00	 81.00	3.06e-02	6.85e-04
 8554498	5843	 81	 0.05	0.10	 61.980	0.960	1153.00	 76.00	3.83e-02	1.11e-03
 8694723	6348	 75	-0.42	0.10	 75.179	0.211	1474.17	  4.72	1.19e-01	3.06e-03
 8760414	6010	 75	-0.92	0.10	117.273	0.188	2470.10	 10.28	9.74e-02	2.87e-03
 8866102	6155	 73	-0.02	0.10	 94.500	0.600	2014.00	 32.00	9.62e-02	2.66e-03
 8938364	5770	 73	-0.13	0.10	 85.603	0.221	1677.25	  6.43	7.94e-02	2.28e-03
 9025370	5718	 79	-0.12	0.18	132.501	0.202	2989.33	 20.78	1.45e-01	7.05e-03
 9098294	5873	 74	-0.18	0.10	108.875	0.202	2310.91	 10.17	8.91e-02	2.13e-03
 9139151	6130	 78	 0.10	0.10	117.142	0.185	2686.11	 12.64	1.05e-01	4.69e-03
 9139163	6506	 77	 0.15	0.09	 81.039	0.187	1724.43	  6.59	1.43e-01	5.84e-03
 9206432	6585	 89	 0.16	0.10	 84.691	0.184	1864.10	 14.59	9.76e-02	6.77e-03
 9353712	6270	 87	-0.05	0.10	 51.479	0.241	 932.86	 11.51	4.84e-02	1.67e-03
 9410862	5985	 73	-0.31	0.10	107.462	0.199	2282.69	 26.86	5.51e-02	1.43e-03
 9414417	6352	 75	-0.13	0.10	 60.050	0.270	1115.00	 32.00	8.39e-02	2.21e-03
 9592705	6252	 82	 0.21	0.10	 53.540	0.320	1008.00	 21.00	4.61e-02	1.21e-03
 9812850	6362	 84	-0.07	0.10	 64.649	0.217	1253.23	  8.04	8.86e-02	4.84e-03
 9955598	5370	 71	 0.05	0.10	153.180	0.140	3546.00	119.00	1.24e-01	3.24e-03
 9965715	5879	 73	-0.44	0.18	 97.247	0.188	2078.85	 10.25	1.12e-01	2.86e-03
10068307	6172	 79	-0.23	0.10	 53.952	0.233	 995.61	  2.94	1.69e-01	8.17e-03
10079226	5901	 71	 0.11	0.10	116.482	0.178	2657.20	 50.31	7.47e-02	1.65e-03
10162436	6222	 72	-0.16	0.10	 55.818	0.226	1051.20	  4.11	1.36e-01	3.21e-03
10454113	6066	 79	-0.07	0.10	105.129	0.170	2358.89	  9.76	1.40e-01	6.63e-03
10514430	5521	 76	-0.07	0.10	 70.000	1.000	1303.00	 30.00	6.85e-02	1.61e-03
10516096	6056	 76	-0.11	0.10	 84.325	0.213	1689.17	  5.78	9.72e-02	2.63e-03
10586004	5743	 72	 0.31	0.10	 69.200	1.400	1395.00	 40.00	3.78e-02	8.91e-04
10644253	6057	 72	 0.06	0.10	122.784	0.185	2900.86	 26.74	1.10e-01	2.90e-03
10666592	6581	100	 0.12	0.10	 59.220	0.590	1115.00	110.00	5.41e-02	2.65e-03
10730618	6457	 84	-0.11	0.18	 66.182	0.221	1284.54	 15.72	5.48e-02	1.81e-03
10963065	6100	 71	-0.19	0.10	103.200	0.630	2193.00	 48.00	1.30e-01	2.89e-03
11081729	6640	 82	 0.11	0.10	 90.153	0.188	1968.84	 13.92	9.92e-02	2.27e-03
11133306	5958	 81	-0.01	0.10	107.900	1.900	2381.00	 95.00	3.30e-02	9.58e-04
11253226	6702	 79	-0.08	0.10	 77.154	0.193	1592.53	  9.91	1.26e-01	6.06e-03
11295426	5899	 83	 0.06	0.10	101.570	0.100	2154.00	 13.00	7.91e-02	3.43e-03
11401755	6497	 96	-0.20	0.06	 67.900	1.200	1250.00	 44.00	2.73e-02	1.83e-03
11772920	5358	 73	-0.09	0.18	157.786	0.193	3683.38	 51.24	1.12e-01	3.46e-03
11807274	6194	 76	-0.00	0.08	 75.710	0.310	1496.00	 56.00	5.86e-02	1.91e-03
11853905	5858	 81	 0.17	0.10	 74.400	1.100	1436.00	 42.00	2.90e-02	8.40e-04
11904151	5765	 81	-0.11	0.10	118.200	0.200	2730.00	280.00	5.27e-02	1.53e-03
12009504	6219	 75	-0.08	0.10	 88.151	0.192	1868.72	  7.45	9.77e-02	2.46e-03
12069127	6339	 82	 0.08	0.10	 48.330	0.242	 885.54	 10.54	5.09e-02	1.78e-03
12069424	5790	 82	 0.10	0.03	103.266	0.190	2196.52	  4.69	5.37e-01	1.61e-02
12069449	5834	 71	 0.05	0.02	116.938	0.184	2558.38	  5.93	4.93e-01	1.37e-02
12258514	6030	 75	-0.00	0.10	 74.783	0.210	1514.01	  3.20	1.85e-01	6.96e-03
12317678	6464	 77	-0.28	0.10	 63.657	0.231	1201.93	  6.50	1.18e-01	4.84e-03
