# Stellar radii, masses, and surface gravities from detailed asteroseismic analysis
#
# Columns (the ones left out contain the uncertainties on the previous parameter):
# 0 - KIC ID
# 1 - Radius (solar units)
# 3 - Mass (solar units)
# 5 - Surface gravity (log10(g/cm^3))
#################################################################################
 8938364	1.354e+00	1.299e-02	9.893e-01	1.448e-02	4.174e+00	4.034e-03
 9025370	1.015e+00	8.465e-03	1.009e+00	2.042e-02	4.431e+00	4.201e-03
 9098294	1.144e+00	1.082e-02	9.705e-01	1.511e-02	4.311e+00	4.403e-03
 9139151	1.154e+00	1.173e-02	1.159e+00	1.944e-02	4.378e+00	5.169e-03
 9139163	1.557e+00	1.505e-02	1.389e+00	2.923e-02	4.196e+00	8.491e-03
 9206432	1.505e+00	1.955e-02	1.370e+00	5.051e-02	4.220e+00	1.112e-02
 9353712	2.177e+00	2.436e-02	1.520e+00	2.667e-02	3.946e+00	6.862e-03
 9410862	1.165e+00	1.546e-02	9.976e-01	3.957e-02	4.305e+00	7.895e-03
 9414417	1.910e+00	2.213e-02	1.402e+00	2.889e-02	4.021e+00	6.575e-03
 9592705	2.135e+00	2.450e-02	1.538e+00	3.616e-02	3.968e+00	7.342e-03
 9812850	1.792e+00	4.276e-02	1.335e+00	8.542e-02	4.058e+00	1.091e-02
 9955598	8.878e-01	6.317e-03	8.992e-01	1.467e-02	4.497e+00	3.087e-03
 9965715	1.297e+00	2.593e-02	1.100e+00	6.140e-02	4.255e+00	9.834e-03
10068307	2.089e+00	2.700e-02	1.482e+00	2.891e-02	3.969e+00	5.746e-03
10079226	1.150e+00	1.408e-02	1.120e+00	3.153e-02	4.368e+00	6.452e-03
10162436	2.040e+00	2.394e-02	1.461e+00	2.409e-02	3.983e+00	5.951e-03
10454113	1.255e+00	1.345e-02	1.211e+00	2.569e-02	4.322e+00	5.880e-03
10514430	1.600e+00	1.315e-02	1.080e+00	2.135e-02	4.064e+00	3.578e-03
10516096	1.410e+00	1.624e-02	1.089e+00	2.559e-02	4.177e+00	6.749e-03
10586004	1.629e+00	1.904e-02	1.121e+00	3.668e-02	4.062e+00	5.764e-03
10644253	1.121e+00	1.107e-02	1.171e+00	2.577e-02	4.407e+00	4.653e-03
10666592	1.966e+00	2.889e-02	1.513e+00	5.113e-02	4.029e+00	1.260e-02
10730618	1.761e+00	4.726e-02	1.331e+00	1.043e-01	4.069e+00	1.648e-02
10963065	1.233e+00	1.422e-02	1.089e+00	2.611e-02	4.295e+00	5.628e-03
11081729	1.427e+00	2.029e-02	1.331e+00	5.200e-02	4.252e+00	1.029e-02
11133306	1.195e+00	1.564e-02	1.082e+00	3.926e-02	4.317e+00	7.016e-03
11253226	1.599e+00	1.973e-02	1.379e+00	3.660e-02	4.172e+00	9.594e-03
11295426	1.236e+00	1.083e-02	1.071e+00	1.940e-02	4.283e+00	4.535e-03
11401755	1.650e+00	1.853e-02	1.162e+00	2.919e-02	4.071e+00	1.034e-02
11772920	8.509e-01	5.551e-03	8.394e-01	1.015e-02	4.504e+00	3.481e-03
11807274	1.581e+00	2.877e-02	1.240e+00	5.912e-02	4.133e+00	1.236e-02
11853905	1.580e+00	2.089e-02	1.172e+00	3.934e-02	4.111e+00	7.984e-03
11904151	1.084e+00	7.577e-03	9.705e-01	1.569e-02	4.355e+00	3.670e-03
12009504	1.411e+00	1.532e-02	1.202e+00	2.917e-02	4.218e+00	6.787e-03
12069127	2.300e+00	2.772e-02	1.589e+00	3.667e-02	3.918e+00	8.030e-03
12069424	1.212e+00	5.582e-03	1.041e+00	1.571e-02	4.291e+00	2.940e-03
12069449	1.104e+00	6.109e-03	1.010e+00	1.018e-02	4.357e+00	3.456e-03
12258514	1.607e+00	1.498e-02	1.270e+00	2.011e-02	4.129e+00	4.770e-03
12317678	1.829e+00	2.119e-02	1.348e+00	2.633e-02	4.047e+00	7.531e-03
